timestamp;windSpeedHH;windDir;assPowerWT1;assPowerWT2;assPowerC;realPowerWT1;realPowerWT2;realPowerCFree;realPowerCRisoe;windSpeedWT1;windSpeedWT2
663;14.1;-2.5;558.275;558.275;1116.550;536.649;488.352;1073.299;1025.001;14.130;12.7
664;13.7;-3.3;546.280;546.280;1092.560;525.119;468.927;1050.238;994.046;13.730;12.2
665;13.8;0.6;550.240;550.240;1100.480;528.925;474.273;1057.851;1003.198;13.840;12.4
666;13.1;-1.4;522.880;522.880;1045.760;502.625;426.641;1005.251;929.266;13.080;11.5
667;13.3;0.3;530.800;530.800;1061.600;510.239;443.146;1020.477;953.384;13.300;11.8
668;13.8;-1.9;548.800;548.800;1097.600;527.541;472.361;1055.083;999.902;13.800;12.3
669;11.9;-0.8;466.600;466.600;933.200;448.525;320.240;897.051;768.765;11.880;10.1
670;12.7;1.3;505.600;505.600;1011.200;486.015;394.090;972.029;880.105;12.680;11.0
671;11.8;-0.6;463.100;463.100;926.200;445.161;315.599;890.322;760.760;11.830;10.0
672;13.9;-2.9;553.840;553.840;1107.680;532.386;479.224;1064.772;1011.610;13.940;12.5
673;13.3;0.7;531.880;531.880;1063.760;511.277;445.390;1022.553;956.666;13.330;11.8
674;13.0;-0.3;519.550;519.550;1039.100;499.424;419.780;998.849;919.204;12.990;11.4
675;13.1;0.3;524.320;524.320;1048.640;504.010;429.591;1008.019;933.600;13.120;11.5
676;12.3;-0.2;489.850;489.850;979.700;470.875;362.072;941.750;832.947;12.330;10.6
677;13.1;-1.4;524.320;524.320;1048.640;504.010;429.647;1008.019;933.656;13.120;11.5
678;12.4;-0.6;491.650;491.650;983.300;472.605;365.830;945.210;838.435;12.370;10.6
679;15.5;-0.5;573.500;573.500;1147.000;551.284;537.734;1102.569;1089.018;15.460;14.1
680;13.2;0.2;527.560;527.560;1055.120;507.124;436.366;1014.248;943.490;13.210;11.6
681;13.9;-2.2;551.320;551.320;1102.640;529.964;475.792;1059.927;1005.756;13.870;12.4
682;13.8;-1.1;547.360;547.360;1094.720;526.157;470.395;1052.314;996.552;13.760;12.3
683;13.4;1.1;535.840;535.840;1071.680;515.083;453.673;1030.167;968.756;13.440;11.9
684;13.0;-3.0;519.550;519.550;1039.100;499.424;419.808;998.849;919.232;12.990;11.4
685;12.0;1.7;476.350;476.350;952.700;457.898;333.966;915.795;791.864;12.030;10.2
686;12.7;-1.1;506.500;506.500;1013.000;486.880;395.860;973.760;882.740;12.700;11.0
687;14.0;2.9;555.280;555.280;1110.560;533.770;483.728;1067.541;1017.498;13.980;12.6
688;13.1;2.6;523.960;523.960;1047.920;503.663;431.860;1007.327;935.524;13.110;11.6
689;13.3;2.2;529.000;529.000;1058.000;508.508;440.273;1017.017;948.781;13.250;11.7
690;12.9;-1.1;515.950;515.950;1031.900;495.964;413.185;991.928;909.148;12.910;11.3
691;14.9;-2.3;571.050;571.050;1142.100;548.929;518.614;1097.859;1067.543;14.860;13.5
692;13.8;-2.0;547.360;547.360;1094.720;526.157;470.403;1052.314;996.560;13.760;12.3
693;13.8;1.4;549.520;549.520;1099.040;528.233;473.261;1056.467;1001.495;13.820;12.3
694;13.1;1.5;525.040;525.040;1050.080;504.702;431.016;1009.403;935.717;13.140;11.6
695;12.1;0.0;481.750;481.750;963.500;463.089;345.270;926.177;808.359;12.150;10.4
696;11.8;1.9;458.900;458.900;917.800;441.124;310.258;882.247;751.382;11.770;9.9
697;11.9;-0.3;468.700;468.700;937.400;450.544;322.995;901.088;773.539;11.910;10.1
698;11.3;0.1;428.100;428.100;856.200;411.517;273.418;823.034;684.935;11.330;9.4
699;13.2;1.4;526.840;526.840;1053.680;506.432;434.787;1012.864;941.219;13.190;11.6
700;13.1;1.1;522.520;522.520;1045.040;502.279;425.784;1004.559;928.063;13.070;11.5
701;14.3;-3.3;560.550;560.550;1121.100;538.836;494.535;1077.672;1033.371;14.260;12.8
702;13.6;0.7;540.520;540.520;1081.040;519.582;461.067;1039.164;980.649;13.570;12.1
703;13.2;-1.5;526.120;526.120;1052.240;505.740;433.409;1011.480;939.149;13.170;11.6
704;13.7;0.4;545.920;545.920;1091.840;524.773;468.404;1049.546;993.176;13.720;12.2
705;11.6;2.8;448.400;448.400;896.800;431.030;302.949;862.061;733.979;11.620;9.8
706;14.8;0.6;570.350;570.350;1140.700;548.256;517.038;1096.513;1065.294;14.820;13.4
707;12.9;-1.8;513.700;513.700;1027.400;493.801;409.065;987.602;902.866;12.860;11.2
